Date first seen,Proto,Src IP Addr,Dst IP Addr,Dst Pt,In Byte,Out Byte,External,pattern_instance,pattern
2023-07-27 19:40:12.653,TCP,172.16.1.4,172.17.0.2,25.0,    2502,    2406,False,0,-1
2023-07-27 19:40:15.161,TCP,172.16.1.3,209.197.3.8,80.0,   41886,   3.1 M,True,0,-1
2023-07-27 19:40:15.486,TCP,172.16.1.2,172.17.0.2,25.0,    2490,    2406,False,1,2
2023-07-27 19:40:15.577,TCP,172.16.1.3,172.17.0.2,25.0,    2490,    2406,False,2,0
2023-07-27 19:40:16.027,TCP,172.16.1.3,23.65.202.147,443.0,    4122,   23019,True,3,18
2023-07-27 19:40:16.192,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    4401,True,4,7
2023-07-27 19:40:16.264,TCP,172.16.1.3,93.184.221.240,80.0,   20760,   1.4 M,True,0,-1
2023-07-27 19:40:17.738,TCP,172.16.1.4,172.17.0.2,25.0,    2460,    2406,False,2,0
2023-07-27 19:40:19.146,UDP,172.16.1.2,172.16.0.2,53.0,     234,     528,False,5,29
2023-07-27 19:40:19.151,TCP,172.16.1.2,20.54.25.4,443.0,    3489,   11229,True,6,39
2023-07-27 19:40:19.307,UDP,172.16.1.2,172.16.0.2,53.0,     240,     603,False,7,29
2023-07-27 19:40:19.310,TCP,172.16.1.2,23.65.202.147,443.0,    3522,   24540,True,0,-1
2023-07-27 19:40:19.627,TCP,172.16.1.2,87.248.222.128,80.0,   43266,   3.2 M,True,0,-1
2023-07-27 19:40:20.057,UDP,172.16.1.4,172.16.0.2,53.0,     225,     669,False,0,-1
2023-07-27 19:40:20.081,TCP,172.16.1.4,20.189.173.13,443.0,   10296,   17406,True,0,-1
2023-07-27 19:40:20.260,UDP,172.16.1.2,172.16.0.2,53.0,     207,     498,False,8,29
2023-07-27 19:40:20.603,TCP,172.16.1.2,172.17.0.2,25.0,    2490,    2406,False,1,2
2023-07-27 19:40:20.710,TCP,172.16.1.3,172.17.0.2,25.0,    2490,    2406,False,9,5
2023-07-27 19:40:22.627,UDP,172.16.1.2,172.16.0.2,53.0,     225,     669,False,10,21
2023-07-27 19:40:22.630,TCP,172.16.1.2,20.189.173.13,443.0,    9924,   17646,True,11,41
2023-07-27 19:40:22.813,TCP,172.16.1.4,172.17.0.2,25.0,    2502,    2406,False,9,5
2023-07-27 19:40:23.633,UDP,172.16.1.2,172.16.0.2,53.0,     216,     507,False,12,29
2023-07-27 19:40:25.747,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,1,2
2023-07-27 19:40:25.812,TCP,172.16.1.3,172.17.0.2,25.0,    2460,    2406,False,13,5
2023-07-27 19:40:26.313,TCP,172.16.1.2,20.189.173.13,443.0,   10665,   17526,True,0,-1
2023-07-27 19:40:26.583,TCP,172.16.1.3,93.184.221.240,80.0,   27120,   3.2 M,True,14,19
2023-07-27 19:40:27.876,TCP,172.16.1.4,172.17.0.2,25.0,    2460,    2406,False,13,5
2023-07-27 19:40:28.144,TCP,172.16.1.2,20.189.173.13,443.0,    9408,   17268,True,0,-1
2023-07-27 19:40:28.538,TCP,172.16.1.3,20.242.39.171,443.0,   17484,   14088,True,0,-1
2023-07-27 19:40:30.107,UDP,172.16.1.3,172.16.0.2,53.0,     483,    1419,False,0,-1
2023-07-27 19:40:30.129,TCP,172.16.1.3,23.65.202.147,443.0,    4119,   23019,True,3,18
2023-07-27 19:40:30.233,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    8607,True,0,-1
2023-07-27 19:40:30.277,UDP,172.16.1.3,172.16.0.2,53.0,     240,     480,False,2,0
2023-07-27 19:40:30.288,TCP,172.16.1.3,95.140.239.0,80.0,    2100,    4140,True,4,7
2023-07-27 19:40:30.289,TCP,172.16.1.3,87.248.222.128,80.0,    1962,    3996,True,15,7
2023-07-27 19:40:30.868,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,16,2
2023-07-27 19:40:30.916,TCP,172.16.1.3,87.248.222.128,80.0,    6834,  302334,True,0,-1
2023-07-27 19:40:30.925,TCP,172.16.1.3,172.17.0.2,25.0,    2502,    2406,False,2,0
2023-07-27 19:40:32.191,TCP,172.16.1.3,95.140.239.0,80.0,   12642,   1.2 M,True,14,19
2023-07-27 19:40:32.191,TCP,172.16.1.3,87.248.222.128,80.0,    1962,    3996,True,15,7
2023-07-27 19:40:32.931,TCP,172.16.1.4,172.17.0.2,25.0,    2490,    2406,False,2,0
2023-07-27 19:40:33.527,TCP,172.16.1.3,87.248.222.128,80.0,   29466,   3.2 M,True,17,19
2023-07-27 19:40:35.961,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,16,2
2023-07-27 19:40:36.001,TCP,172.16.1.3,172.17.0.2,25.0,    2502,    2406,False,18,5
2023-07-27 19:40:37.993,TCP,172.16.1.4,172.17.0.2,25.0,    2502,    2406,False,18,5
2023-07-27 19:40:41.014,TCP,172.16.1.2,172.17.0.2,25.0,    2490,    2544,False,16,2
2023-07-27 19:40:41.099,TCP,172.16.1.3,172.17.0.2,25.0,    2460,    2406,False,19,5
2023-07-27 19:40:42.074,UDP,172.16.1.3,172.16.0.2,53.0,     243,     609,False,2,0
2023-07-27 19:40:42.095,TCP,172.16.1.3,23.217.242.156,443.0,    3504,   21927,True,0,-1
2023-07-27 19:40:42.589,UDP,172.16.1.2,172.16.0.2,53.0,     240,     591,False,20,29
2023-07-27 19:40:42.691,UDP,172.16.1.2,172.16.1.1,53.0,     240,     558,False,21,24
2023-07-27 19:40:42.741,TCP,172.16.1.2,104.123.31.226,80.0,    1605,   15273,True,0,-1
2023-07-27 19:40:43.040,TCP,172.16.1.4,172.17.0.2,25.0,    2490,    2406,False,19,5
2023-07-27 19:40:43.237,TCP,172.16.1.3,93.184.221.240,80.0,   74499,   6.5 M,True,0,-1
2023-07-27 19:40:43.709,TCP,172.16.1.3,93.184.221.240,80.0,   41601,   3.2 M,True,10,21
2023-07-27 19:40:43.886,UDP,172.16.1.2,172.16.0.2,53.0,     219,     450,False,22,29
2023-07-27 19:40:44.314,TCP,172.16.1.3,87.248.222.128,80.0,    1962,    3996,True,0,-1
2023-07-27 19:40:44.314,TCP,172.16.1.3,95.140.239.0,80.0,    1962,    3996,True,23,7
2023-07-27 19:40:44.543,TCP,172.16.1.3,87.248.222.128,80.0,   43128,   3.2 M,True,10,21
2023-07-27 19:40:46.117,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,24,2
2023-07-27 19:40:48.099,TCP,172.16.1.4,172.17.0.2,25.0,    2460,    2406,False,0,-1
2023-07-27 19:40:49.461,TCP,172.16.1.3,20.54.110.119,443.0,  116721,   65184,True,0,-1
2023-07-27 19:40:50.105,TCP,172.16.1.3,95.140.239.0,80.0,  136590,  12.9 M,True,0,-1
2023-07-27 19:40:50.105,TCP,172.16.1.3,87.248.222.128,80.0,  138660,  12.9 M,True,0,-1
2023-07-27 19:40:50.756,UDP,172.16.1.3,172.16.0.2,53.0,     240,     705,False,0,-1
2023-07-27 19:40:50.768,TCP,172.16.1.3,8.247.206.254,80.0,    2091,    4191,True,23,7
2023-07-27 19:40:50.769,TCP,172.16.1.3,8.238.69.126,80.0,   14259,  761754,True,17,19
2023-07-27 19:40:51.205,TCP,172.16.1.2,172.17.0.2,25.0,    2490,    2406,False,24,2
2023-07-27 19:40:51.260,TCP,172.16.1.3,172.17.0.2,25.0,    2502,    2406,False,25,0
2023-07-27 19:40:51.318,TCP,172.16.1.3,209.197.3.8,80.0,    8601,  618021,True,0,-1
2023-07-27 19:40:51.497,UDP,172.16.1.4,172.16.0.2,53.0,     225,     678,False,0,-1
2023-07-27 19:40:51.528,TCP,172.16.1.4,52.182.143.209,443.0,    7980,   17508,True,0,-1
2023-07-27 19:40:51.761,TCP,172.16.1.4,20.242.39.171,443.0,  242532,   21135,True,0,-1
2023-07-27 19:40:53.181,TCP,172.16.1.4,172.17.0.2,25.0,    2490,    2682,False,25,0
2023-07-27 19:40:54.398,TCP,172.16.1.3,209.197.3.8,80.0,    2097,    1827,True,26,7
2023-07-27 19:40:54.514,TCP,172.16.1.3,93.184.221.240,80.0,   14688,   1.4 M,True,27,19
2023-07-27 19:40:54.842,TCP,172.16.1.3,20.242.39.171,443.0,   17487,   14085,True,0,-1
2023-07-27 19:40:55.507,UDP,172.16.1.3,172.16.0.2,53.0,     240,     429,False,25,0
2023-07-27 19:40:55.522,TCP,172.16.1.3,209.197.3.8,80.0,    1947,    2112,True,26,7
2023-07-27 19:40:55.840,TCP,172.16.1.3,209.197.3.8,80.0,   36069,   3.1 M,True,27,19
2023-07-27 19:40:56.308,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,24,2
2023-07-27 19:40:56.389,TCP,172.16.1.3,172.17.0.2,25.0,    2490,    2544,False,25,0
2023-07-27 19:40:56.489,TCP,172.16.1.3,87.248.222.128,80.0,    2100,    4140,True,28,7
2023-07-27 19:40:56.491,TCP,172.16.1.3,95.140.239.0,80.0,   37626,   3.2 M,True,29,19
2023-07-27 19:40:57.541,TCP,172.16.1.3,20.242.39.171,443.0,   17478,   14082,True,0,-1
2023-07-27 19:40:58.308,TCP,172.16.1.4,172.17.0.2,25.0,    2502,    2406,False,25,0
2023-07-27 19:40:58.796,UDP,172.16.1.3,172.16.0.2,53.0,     240,     603,False,25,0
2023-07-27 19:40:58.818,TCP,172.16.1.3,23.65.202.147,443.0,    4119,   23019,True,30,18
2023-07-27 19:40:59.343,UDP,172.16.1.3,172.16.0.2,53.0,     222,     813,False,0,-1
2023-07-27 19:40:59.367,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    7185,True,0,-1
2023-07-27 19:40:59.430,UDP,172.16.1.3,172.16.0.2,53.0,     240,     429,False,0,-1
2023-07-27 19:40:59.449,TCP,172.16.1.3,209.197.3.8,80.0,    1962,    2115,True,28,7
2023-07-27 19:41:00.729,TCP,172.16.1.3,23.65.202.147,443.0,    4119,   21480,True,30,18
2023-07-27 19:41:00.839,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    4407,True,31,7
2023-07-27 19:41:00.884,UDP,172.16.1.3,172.16.0.2,53.0,     240,     429,False,0,-1
2023-07-27 19:41:00.899,TCP,172.16.1.3,209.197.3.8,80.0,    1956,    2109,True,31,7
2023-07-27 19:41:01.211,UDP,172.16.1.3,172.16.0.2,53.0,     240,     651,False,0,-1
2023-07-27 19:41:01.243,TCP,172.16.1.3,193.51.224.48,80.0,   29763,   2.8 M,True,29,19
2023-07-27 19:41:01.244,TCP,172.16.1.3,193.51.224.22,80.0,    2118,    3915,True,32,7
2023-07-27 19:41:01.375,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,33,2
2023-07-27 19:41:01.513,TCP,172.16.1.3,172.17.0.2,25.0,    2502,    2406,False,34,0
2023-07-27 19:41:03.373,TCP,172.16.1.4,172.17.0.2,25.0,    2490,    2406,False,34,0
2023-07-27 19:41:04.449,UDP,172.16.1.4,172.16.0.2,53.0,     225,     669,False,0,-1
2023-07-27 19:41:04.497,TCP,172.16.1.4,20.189.173.6,443.0,   21399,   18132,True,0,-1
2023-07-27 19:41:04.585,UDP,172.16.1.3,172.16.0.2,53.0,     171,     351,False,34,0
2023-07-27 19:41:04.673,UDP,172.16.1.3,172.16.0.2,53.0,     195,     276,False,0,-1
2023-07-27 19:41:04.675,TCP,172.16.1.3,54.93.70.132,443.0,  293625,   2.7 M,True,0,-1
2023-07-27 19:41:04.675,UDP,172.16.1.3,172.16.0.2,53.0,     195,     426,False,0,-1
2023-07-27 19:41:04.976,UDP,172.16.1.3,172.16.0.2,53.0,     231,     456,False,0,-1
2023-07-27 19:41:04.979,UDP,172.16.1.3,172.16.0.2,53.0,     231,     519,False,0,-1
2023-07-27 19:41:04.983,TCP,172.16.1.3,18.239.94.111,443.0,    6918,   31131,True,35,32
2023-07-27 19:41:05.083,UDP,172.16.1.4,172.16.0.2,53.0,     213,     504,False,11,41
2023-07-27 19:41:05.481,UDP,172.16.1.3,172.16.0.2,53.0,     165,     744,False,0,-1
2023-07-27 19:41:05.598,UDP,172.16.1.3,172.16.0.2,53.0,     216,     345,False,0,-1
2023-07-27 19:41:05.599,TCP,172.16.1.3,2.16.165.124,443.0,   42354,   1.3 M,True,0,-1
2023-07-27 19:41:05.653,UDP,172.16.1.3,172.16.0.2,53.0,     216,     417,False,0,-1
2023-07-27 19:41:05.667,UDP,172.16.1.3,172.16.0.2,53.0,     213,     441,False,0,-1
2023-07-27 19:41:05.668,UDP,172.16.1.3,172.16.0.2,53.0,     216,     417,False,0,-1
2023-07-27 19:41:05.813,UDP,172.16.1.3,172.16.1.1,53.0,     213,     408,False,0,-1
2023-07-27 19:41:06.424,TCP,172.16.1.2,172.17.0.2,25.0,    2490,    2406,False,33,2
2023-07-27 19:41:06.700,TCP,172.16.1.3,172.17.0.2,25.0,    2460,    2544,False,34,0
2023-07-27 19:41:07.836,TCP,172.16.1.3,209.197.3.8,80.0,  126003,  13.9 M,True,0,-1
2023-07-27 19:41:08.429,TCP,172.16.1.4,172.17.0.2,25.0,    2460,    2406,False,34,0
2023-07-27 19:41:09.114,TCP,172.16.1.3,209.197.3.8,80.0,   40494,   4.7 M,True,0,-1
2023-07-27 19:41:11.482,TCP,172.16.1.2,172.17.0.2,25.0,    2460,    2406,False,33,2
2023-07-27 19:41:11.546,TCP,172.16.1.4,20.189.173.6,443.0,   36450,   19533,True,0,-1
2023-07-27 19:41:11.796,TCP,172.16.1.3,172.17.0.2,25.0,    2502,    2406,False,36,5
2023-07-27 19:41:13.469,TCP,172.16.1.4,172.17.0.2,25.0,    2490,    2406,False,36,5
2023-07-27 19:41:15.794,UDP,172.16.1.4,172.16.0.2,53.0,     180,     537,False,0,-1
2023-07-27 19:41:15.881,UDP,172.16.1.4,172.16.1.1,53.0,     180,     504,False,0,-1
2023-07-27 19:41:15.894,UDP,172.16.1.4,172.16.0.2,53.0,     225,     627,False,0,-1
2023-07-27 19:41:15.972,TCP,172.16.1.4,20.31.42.83,443.0,    9579,   44589,True,0,-1
2023-07-27 19:41:15.972,TCP,172.16.1.4,20.31.42.83,443.0,   10578,   45648,True,0,-1
2023-07-27 19:41:16.074,UDP,172.16.1.3,172.16.0.2,53.0,     243,     609,False,34,0
2023-07-27 19:41:16.095,TCP,172.16.1.3,23.217.242.156,443.0,    3504,   21927,True,0,-1
2023-07-27 19:41:16.134,UDP,172.16.1.4,172.16.0.2,53.0,     213,     615,False,0,-1
2023-07-27 19:41:16.137,TCP,172.16.1.4,20.31.42.83,443.0,   47052,   1.4 M,True,0,-1
2023-07-27 19:41:16.137,TCP,172.16.1.4,20.31.42.83,443.0,    9897,   25527,True,0,-1
2023-07-27 19:41:16.137,TCP,172.16.1.4,20.31.42.83,443.0,   16569,  281031,True,0,-1
2023-07-27 19:41:16.201,TCP,172.16.1.4,13.107.6.156,443.0,    5475,   64764,True,0,-1
2023-07-27 19:41:16.276,TCP,172.16.1.3,23.65.202.147,443.0,    4122,   23019,True,37,18
2023-07-27 19:41:16.299,TCP,172.16.1.4,192.229.221.95,80.0,    3360,    9168,True,0,-1
2023-07-27 19:41:16.388,TCP,172.16.1.3,8.238.69.254,80.0,    1767,    5238,True,32,7
2023-07-27 19:41:16.432,TCP,172.16.1.3,93.184.221.240,80.0,   28098,   2.5 M,True,38,19
2023-07-27 19:41:16.432,UDP,172.16.1.4,172.16.0.2,53.0,     228,     615,False,0,-1
2023-07-27 19:41:16.465,UDP,172.16.1.4,172.16.0.2,53.0,     192,     840,False,0,-1
2023-07-27 19:41:16.515,UDP,172.16.1.4,172.16.1.1,53.0,     228,     582,False,0,-1
2023-07-27 19:41:16.550,TCP,172.16.1.4,20.42.65.84,443.0,    5544,   21795,True,0,-1
2023-07-27 19:41:16.550,UDP,172.16.1.4,172.16.1.1,53.0,     192,     807,False,0,-1
2023-07-27 19:41:16.552,TCP,172.16.1.2,172.17.0.2,25.0,    2490,    2406,False,39,2
2023-07-27 19:41:16.798,UDP,172.16.1.4,172.16.0.2,53.0,     213,     504,False,0,-1
2023-07-27 19:41:16.841,TCP,172.16.1.4,152.199.21.175,443.0,    2964,   15360,True,0,-1
2023-07-27 19:41:16.841,TCP,172.16.1.4,152.199.21.175,443.0,    2964,   15360,True,0,-1
2023-07-27 19:41:16.842,TCP,172.16.1.4,152.199.21.175,443.0,   69924,   2.4 M,True,0,-1
2023-07-27 19:41:16.842,TCP,172.16.1.4,152.199.21.175,443.0,    3102,   15360,True,0,-1
2023-07-27 19:41:16.842,TCP,172.16.1.4,152.199.21.175,443.0,    3102,   15360,True,0,-1
2023-07-27 19:41:16.842,TCP,172.16.1.4,152.199.21.175,443.0,    2826,   15360,True,0,-1
2023-07-27 19:41:16.949,TCP,172.16.1.3,172.17.0.2,25.0,    2502,    2406,False,40,0
