Date first seen,Proto,Src IP Addr,Dst IP Addr,Dst Pt,In Byte,In Packet,Out Byte,Out Packet,Flags,Duration,pattern_idx
2017-04-07 08:32:10.395100390,TCP,192.168.200.9,14645_180,443.0,557,4,1142,7,.AP.S.,0,3112
2017-04-07 08:32:10.397331474,TCP,192.168.200.9,14645_180,443.0,538,4,1129,6,.AP.S.,0,3112
2017-04-07 19:16:31.722588420,UDP,192.168.220.8,192.168.100.5,138.0,0,0,243,2,......,0,4390
2017-04-07 19:16:31.824258389,UDP,192.168.210.5,192.168.220.8,137.0,0,0,92,2,......,0,4390
2017-04-11 10:44:46.407061005,UDP,192.168.100.6,10031_250,138.0,0,0,253,1,......,0,6990
2017-04-11 10:44:46.776765345,UDP,192.168.220.8,192.168.100.6,137.0,0,0,92,2,......,0,6990
2017-04-08 08:26:06.885412403,TCP,192.168.200.8,DNS,443.0,0,0,1942,5,.AP.S.,0,4554
2017-04-08 08:26:06.886581685,UDP,192.168.200.8,DNS,53.0,55,1,9954,913609,......,0,4554
2017-04-08 08:26:06.887711939,UDP,192.168.200.8,DNS,53.0,74,1,6812,244522,......,0,4554
2017-04-06 11:21:52.737557545,UDP,192.168.200.5,192.168.220.255,53.0,0,1,533,2,......,0,2069
2017-04-06 11:21:52.749004932,TCP,192.168.200.5,192.168.220.255,443.0,91,4,6348,4,.AP.S.,0,2069
2017-04-05 09:00:55.098639862,TCP,192.168.220.4,EXT_SERVER,8082.0,200,1,310,2,.AP...,0,222
2017-04-05 09:00:55.108011422,TCP,192.168.220.15,EXT_SERVER,8082.0,191,1,443,2,.AP...,0,222
2017-04-05 09:00:55.110421984,TCP,192.168.220.4,EXT_SERVER,8082.0,198,1,359,1,.AP...,0,222
2017-04-05 09:00:55.122513328,TCP,192.168.220.4,192.168.220.4,8082.0,201,2,483,2,.AP...,0,222
2017-04-05 09:00:55.172975520,TCP,192.168.220.4,192.168.220.4,8082.0,191,2,399,1,.AP...,0,222
2017-04-05 09:00:55.256628251,TCP,192.168.220.4,EXT_SERVER,8082.0,204,1,302,1,.AP...,0,222
2017-04-05 09:00:55.292688476,TCP,192.168.220.4,192.168.220.4,8000.0,1818073317,6,535,566975,.AP.SF,0,222
2017-04-11 07:59:22.908642873,UDP,192.168.200.8,DNS,53.0,71,1,55,2,......,0,6810
2017-04-11 07:59:22.915263084,UDP,192.168.200.8,DNS,53.0,81,1,55,2,......,1,6810
2017-04-11 07:59:18.419421862,TCP,192.168.200.9,14645_180,443.0,550,5,1124,1175336,.AP.S.,0,6809
2017-04-11 07:59:18.516999466,TCP,192.168.200.9,14645_180,443.0,555,5,1147,1117681,.AP.S.,0,6809
2017-04-11 07:59:24.421758947,TCP,192.168.200.9,14645_180,443.0,545,4,1135,1017568,.AP.S.,0,6809
2017-04-11 07:59:24.433713624,TCP,192.168.200.9,14645_180,443.0,535,5,1120,508783,.AP.S.,0,6809
2017-04-11 07:59:24.448161157,TCP,192.168.200.9,14645_180,443.0,538,5,1153,63763,.AP.S.,0,6809
2017-04-11 11:38:22.211804175,TCP,192.168.200.9,14645_180,443.0,0,5,1124,6,.AP.S.,0,7095
2017-04-11 11:38:22.231822497,TCP,192.168.200.9,14645_180,443.0,541,4,1111,6,.AP.S.,0,7095
2017-04-11 11:38:22.232186042,TCP,192.168.200.9,14645_180,443.0,0,0,209,7,.AP.S.,0,7095
2017-04-11 11:38:22.237345672,TCP,192.168.200.9,14645_180,443.0,0,5,1098,5,.AP.S.,0,7095
2017-04-11 11:38:22.301944938,UDP,192.168.200.9,DNS,53.0,92,2,75,1,......,0,7095
2017-04-08 08:29:46.908655930,UDP,192.168.100.3,DNS,53.0,3433,2,92,1,......,0,4556
2017-04-08 08:29:51.959051472,UDP,192.168.100.3,DNS,53.0,2684,2,91,2,......,0,4556
2017-04-07 13:33:56.341940973,UDP,192.168.200.8,DNS,53.0,59,1,73,1,......,4,3574
2017-04-07 13:33:56.351119225,UDP,192.168.200.8,DNS,53.0,65,1,54,1,......,64,3574
2017-04-07 13:33:56.594493477,TCP,192.168.200.8,14645_180,443.0,550,4,1095,7,.AP.S.,0,3574
2017-04-07 13:33:59.659906188,UDP,192.168.200.5,DNS,53.0,77,2,65,1,......,0,3574
2017-04-07 13:33:59.663474754,UDP,192.168.200.5,DNS,53.0,77,1,58,2,......,0,3574
2017-04-11 15:34:19.355912742,UDP,192.168.220.4,DNS,53.0,127,2,1917,1,......,0,7493
2017-04-11 15:34:19.360886461,UDP,192.168.220.8,DNS,53.0,152,2,618,2,......,0,7493
