,,Test,BN_indep,BN_timedep_5step,TVAE,CTGAN,E-WGAN-GP,NetShare,Transformer,Our
JSD,0,0.13820057973929378,0.13367421244963346,0.15510110049164696,0.27937984845336655,0.11816629312623209,0.47580217418233106,0.32494171106667513,0.5485407135906316,0.11190573167814177
JSD,1,0.14125364520177133,0.1328860304906375,0.1564304396511259,0.2768051500279727,0.11538606826926556,0.47356982089730726,0.3255666529676656,0.5505748681861585,0.1081311760727696
JSD,2,0.13959920357095648,0.1338243501024102,0.15197227240003436,0.2799930004451197,0.11327820243659045,0.4718469549757735,0.3249333300162835,0.5484773660631241,0.11446672720603704
JSD,3,0.14008324185424786,0.1313249917519972,0.15085539921470495,0.28019508804767934,0.1125657703666709,0.4737375638420233,0.3256159313085774,0.5506299310784364,0.11299409045789213
JSD,4,0.14119691654709138,0.13578696234416693,0.15723364012517266,0.28244465464193247,0.11240110000407055,0.4762534838957704,0.3234256184680996,0.5464716691972195,0.1089959530739439
JSD,5,0.14185842193470316,0.13792639504424803,0.15433346303998224,0.2761206314686635,0.11655127991562564,0.47596268902586525,0.3254411217104803,0.5434556075987251,0.11233383148810025
JSD,6,0.14504971174399808,0.1328532752126129,0.15493620184232695,0.27998887635017633,0.11747989627203821,0.4737422331901434,0.3237490225150507,0.5536116590551575,0.11539815932970661
JSD,7,0.14131355536411597,0.1277323194138424,0.15139038755240342,0.27881491071854236,0.1144649986142183,0.4721363082302913,0.3215567011102056,0.5504155790420928,0.1126460586319302
JSD,8,0.13879649763663707,0.13415651109669477,0.1565217633254247,0.2823729115115713,0.11607565422598891,0.4753744871968726,0.3230290069022228,0.5513552101318618,0.11103920843055577
JSD,9,0.13827115302302664,0.12856431507512522,0.15048666790032655,0.2798189165857088,0.11395554486932087,0.47455944033492603,0.32168623616816705,0.5527835521352482,0.11030708004380521
JSD,10,0.13895327498773527,0.13206205846936986,0.1537451495398195,0.2833502116579525,0.11162712303769914,0.4753181990992352,0.32596104250012436,0.544650385076199,0.11151888439616978
JSD,11,0.1357340981591911,0.1379916170020229,0.15959777469031292,0.2821475240387074,0.11540371099879551,0.475588767176216,0.33022103234862643,0.5477932631652962,0.11176279528505093
JSD,12,0.13648859324131574,0.12999821858003074,0.15518861679995463,0.28372164524276905,0.11217091079978196,0.4763463100268644,0.32320000755083955,0.5476170971191741,0.11319904742635108
JSD,13,0.13969395048111138,0.13557116345939982,0.15496406654864833,0.2817154348384565,0.11298669071639314,0.47434002300492073,0.3241613494452201,0.5466130840984398,0.1131872559616168
JSD,14,0.1446998258795856,0.12772121350419965,0.1499469316201397,0.2792848509467606,0.11107913972964545,0.4725019398269376,0.3191460737014043,0.5559090064909974,0.11404686689801305
JSD,15,0.14465813073698836,0.1369523927336605,0.15401337888933597,0.27991314371436793,0.11057409077104874,0.47340608147257585,0.32405676897310726,0.5519464019756927,0.11269923850248582
JSD,16,0.1424020509319995,0.13038297700427226,0.15492929102626266,0.27956836492036097,0.11243890302527078,0.47280145001812934,0.3213394568736708,0.5498058968880127,0.1140102676288266
