,,Test,BN_indep,BN_timedep_5step,TVAE,CTGAN,E-WGAN-GP,NetShare,Transformer,Our
JSD,0,0.1494160661412895,0.2672988365917418,0.2091692479796553,0.2964561092252972,0.1495104320132204,0.3824581775638455,0.3571244976598768,0.5539746200705208,0.098774905658807
JSD,1,0.152559622771544,0.2728204662339945,0.209780405531578,0.3010479676279342,0.147094431665686,0.3795872988813655,0.3605710402828853,0.5527440139665074,0.1006935909710779
JSD,2,0.1506261540162217,0.2673742999032388,0.2083869335863499,0.2962393011250674,0.147358248271085,0.3818007852740275,0.3594622242179207,0.5511162887435606,0.0933000470552203
JSD,3,0.1480559178279469,0.2686551880485723,0.2085316965645713,0.2969204480021479,0.1478519431762524,0.3811702743918098,0.3595739845153887,0.5538299019508417,0.100725253363582
JSD,4,0.149701483948393,0.2666592168170177,0.2083759277589682,0.2984779743955913,0.1485453705973123,0.3832176779058079,0.3531035887944668,0.5554969163953228,0.0977173493110066
JSD,5,0.1521894915407057,0.2681161005785855,0.2105551082888168,0.2923224063090104,0.1480174539427004,0.3821788499974072,0.3569921586636192,0.5540797743205271,0.0939626212547385
JSD,6,0.1491156474581796,0.2668135042874465,0.2097286693458265,0.2998013919605582,0.1492061143566257,0.380567965945057,0.3598059205294383,0.5503572518881543,0.1002836233913642
JSD,7,0.1509806282417525,0.2676229996777969,0.2121149010126146,0.2989710208575853,0.1503397958171335,0.3819505534747117,0.3553623310270165,0.553388719419645,0.0954171635154695
JSD,8,0.1493207800619663,0.2672507215138253,0.2119487538937297,0.2963483212588859,0.1464537109208774,0.3823391095309222,0.3576586023256114,0.5509926082438915,0.0956110388178541
JSD,9,0.1515221279812776,0.2680454607247685,0.2091618805545894,0.2996994086686893,0.1499636653767522,0.3847560520142372,0.3583493965086699,0.5504257808956359,0.1003457638526015
JSD,10,0.1503879834639784,0.2662402585260554,0.2057639140065257,0.2948775859655363,0.1465045300690016,0.3830709410809451,0.3578066265784329,0.5521704490237523,0.0955988434052099
JSD,11,0.1521455911721174,0.2677913324529684,0.2044708235843832,0.296458350250172,0.1473613543444995,0.3837094790592655,0.3575677620322098,0.5508113107159822,0.0955795043499985
JSD,12,0.1520576090502313,0.2709169356981132,0.2080532347993736,0.2929483774643396,0.150710574816676,0.383235872350267,0.3591520233595828,0.5518862846425313,0.097142645763059
JSD,13,0.1508850585694224,0.26294688486746,0.2113264583121512,0.2970008028147449,0.1468112367877038,0.3809672132137907,0.3550129704373538,0.5554685341725867,0.0954353187812707
